City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,brisas de zicatela,15.8369,-97.0419,29.29,58,75,2.06,MX,1696549400
1,oriximina,-1.7656,-55.8661,31.62,45,94,1.33,BR,1696549400
2,waitangi,-43.9535,-176.5597,13.79,82,93,3.13,NZ,1696549401
3,iqaluit,63.7506,-68.5145,2.85,100,100,13.89,CA,1696549402
4,arraial do cabo,-22.9661,-42.0278,22.47,95,90,4.47,BR,1696549303
5,tura,25.5198,90.2201,22.17,99,100,1.5,IN,1696549403
6,fenyi,27.8112,114.6681,19.92,78,91,1.63,CN,1696549403
7,san nicolas,18.1725,120.5953,24.95,94,75,2.06,PH,1696549404
8,ribeira grande,38.5167,-28.7,22.1,95,100,14.31,PT,1696549404
9,albany,42.6001,-73.9662,20.91,68,55,2.88,US,1696549108
10,tiksi,71.6872,128.8694,-6.42,91,90,3.05,RU,1696549405
11,marka,1.7159,44.7717,25.51,87,28,5.36,SO,1696549406
12,mount gambier,-37.8333,140.7667,12.5,49,60,3.86,AU,1696549406
13,avarua,-21.2078,-159.775,23.03,94,100,4.12,CK,1696549407
14,port-aux-francais,-49.35,70.2167,3.06,87,96,12.76,TF,1696549407
15,ingeniero jacobacci,-41.3427,-69.5448,6.5,60,12,9.31,AR,1696549408
16,vorgashor,67.5833,63.95,3.96,77,100,9.32,RU,1696549408
17,turkmenbasy,40.0222,52.9552,14.43,94,0,2.06,TM,1696549409
18,borda da mata,-22.2742,-46.1653,21.49,81,85,1.56,BR,1696549409
19,malvan,16.0667,73.4667,25.13,90,61,3.4,IN,1696549410
20,coquimbo,-29.9533,-71.3436,13.85,76,75,4.63,CL,1696549410
21,edinburgh of the seven seas,-37.0676,-12.3116,11.56,65,81,4.62,SH,1696549411
22,san pedro,14.35,121.0167,26.26,92,75,2.24,PH,1696549411
23,nyurba,63.2842,118.3319,-1.65,77,25,3.58,RU,1696549412
24,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,74,75,4.02,RU,1696549413
25,ushuaia,-54.8,-68.3,3.81,66,0,4.92,AR,1696549335
26,cockburn town,21.4612,-71.1419,28.94,74,3,2.36,TC,1696549414
27,yellowknife,62.456,-114.3525,3.56,83,100,5.66,CA,1696549414
28,stanley,54.868,-1.6985,16.01,86,75,5.66,GB,1696549415
29,lauro de freitas,-12.8944,-38.3272,26.01,78,20,5.14,BR,1696549262
30,blackmans bay,-43.0167,147.3167,11.96,58,48,5.17,AU,1696549416
31,katsuura,35.1333,140.3,20.61,45,32,4.42,JP,1696549416
32,bethel,41.3712,-73.414,20.2,75,0,2.06,US,1696549417
33,buta,2.7858,24.73,21.27,99,98,0.93,CD,1696549418
34,adamstown,-25.066,-130.1015,20.61,75,18,6.11,PN,1696549418
35,grytviken,-54.2811,-36.5092,4.28,98,99,0.52,GS,1696549419
36,aioun,16.6614,-9.6149,35.2,25,100,2.05,MR,1696549419
37,nova sintra,14.8667,-24.7167,23.68,76,74,2.41,CV,1696549420
38,olive branch,34.9618,-89.8295,20.4,95,75,1.54,US,1696549420
39,makubetsu,45.3714,141.8211,12.84,94,75,14.4,JP,1696549421
40,la'ie,21.6477,-157.9253,29.66,70,22,3.31,US,1696549423
41,mana,5.6592,-53.7767,27.74,84,96,5.4,GF,1696549423
42,borzya,50.3833,116.5167,7.23,52,5,1.37,RU,1696549424
43,jamestown,42.097,-79.2353,23.34,55,0,3.13,US,1696549191
44,picui,-6.5106,-36.3469,21.68,84,9,7.47,BR,1696549425
45,port alfred,-33.5906,26.891,16.77,98,100,3.13,ZA,1696549425
46,bouarfa,32.53,-1.95,19.32,25,92,3.12,MA,1696549426
47,st. john's,47.5649,-52.7093,7.76,90,100,1.03,CA,1696549155
48,yuzhno-kurilsk,44.0306,145.8556,14.1,73,100,4.44,RU,1696549427
49,guigue,10.0853,-67.7792,26.9,65,75,2.17,VE,1696549428
50,tindouf,27.6711,-8.1474,27.25,18,0,4.12,DZ,1696549428
51,kodiak,57.79,-152.4072,10.73,82,100,5.14,US,1696549429
52,macia,-25.0269,33.0989,19.09,72,17,3.3,MZ,1696549429
53,vila franca do campo,37.7167,-25.4333,23.23,94,100,7.67,PT,1696549430
54,carrigaline,51.8117,-8.3986,15.86,100,100,8.75,IE,1696549359
55,tabas,33.5959,56.9244,21.12,37,25,5.14,IR,1696549431
56,trenggalek,-8.05,111.7167,24.97,87,68,2.09,ID,1696549431
57,chonchi,-42.6128,-73.8092,8.4,92,79,3.69,CL,1696549432
58,wailua homesteads,22.0669,-159.378,28.24,83,75,3.6,US,1696549432
59,san patricio,28.017,-97.5169,23.92,72,98,4.43,US,1696549433
60,saipan,15.1355,145.701,30.39,70,20,5.66,MP,1696549434
61,saint-denis,48.9167,2.3333,13.95,80,0,1.54,FR,1696549434
62,necochea,-38.5473,-58.7368,10.19,77,61,4.32,AR,1696549435
63,margaret river,-33.95,115.0667,15.79,67,51,3.01,AU,1696549338
64,puerto natales,-51.7236,-72.4875,3.25,87,20,5.66,CL,1696549436
65,dean funes,-30.4204,-64.3498,16.48,35,0,2.48,AR,1696549437
66,aykhal,66.0,111.5,-8.85,92,94,3.58,RU,1696549438
67,isafjordur,66.0755,-23.124,2.38,86,97,8.62,IS,1696549438
68,lages,-27.8161,-50.3261,14.33,99,60,1.47,BR,1696549439
69,marechal candido rondon,-24.5561,-54.0567,19.9,89,72,1.4,BR,1696549439
70,lazaro cardenas,17.9583,-102.2,29.18,77,24,2.62,MX,1696549187
71,taoudenni,22.6783,-3.9836,31.99,16,57,2.69,ML,1696549440
72,inari,68.906,27.0288,1.11,71,66,6.11,FI,1696549441
73,timimoun,29.2639,0.231,24.21,29,0,6.69,DZ,1696549442
74,ouadda,8.0777,22.4007,20.53,97,95,1.69,CF,1696549442
75,charters towers,-20.1,146.2667,27.84,47,65,2.71,AU,1696549443
76,mamfe,5.754,9.3123,22.67,99,92,0.09,CM,1696549443
77,huarmey,-10.0681,-78.1522,20.18,85,44,4.35,PE,1696549444
78,george town,5.4112,100.3354,26.96,93,20,0.0,MY,1696549230
79,lebu,-37.6167,-73.65,9.62,82,59,2.96,CL,1696549445
80,rongelap,11.1635,166.8941,28.79,75,100,6.04,MH,1696549446
81,jieshi,22.8134,115.8257,24.6,70,100,6.13,CN,1696549268
82,hasaki,35.7333,140.8333,20.22,39,36,9.54,JP,1696549447
83,ust'-uda,54.1742,103.0304,5.44,74,100,0.45,RU,1696549447
84,kununurra,-15.7667,128.7333,30.99,27,91,5.66,AU,1696549448
85,jianshui,23.6363,102.8264,19.64,93,23,0.87,CN,1696549448
86,borovichi,58.3878,33.9155,11.12,72,100,8.49,RU,1696549449
87,alghero,40.5589,8.3181,15.05,100,0,0.51,IT,1696549449
88,nemuro,43.3236,145.575,14.87,72,95,9.67,JP,1696549450
89,hawaiian paradise park,19.5933,-154.9731,28.73,70,40,4.12,US,1696549450
90,bilibino,68.0546,166.4372,-9.77,86,29,0.96,RU,1696549451
91,keflavik,64.0049,-22.5624,5.24,81,75,1.03,IS,1696549405
92,terrace,54.5163,-128.6035,14.01,93,75,1.03,CA,1696549453
93,eydhafushi,5.1033,73.0708,26.43,86,100,7.06,MV,1696549453
94,papatowai,-46.5619,169.4708,16.87,43,100,3.24,NZ,1696549454
95,trairi,-3.2778,-39.2689,26.04,76,66,5.28,BR,1696549454
96,muisne,0.6,-80.0333,24.73,82,69,2.35,EC,1696549234
97,egilsstadir,65.2653,-14.3948,2.95,75,75,3.6,IS,1696549455
98,port mathurin,-19.6833,63.4167,22.7,77,94,8.61,MU,1696549456
99,atafu village,-8.5421,-172.5159,28.55,73,20,3.35,TK,1696549457
100,vorkuta,67.5,64.0,4.16,77,100,9.28,RU,1696549457
101,faya-largeau,17.9257,19.1043,31.55,24,80,9.48,TD,1696549458
102,el calafate,-50.3408,-72.2768,4.63,71,44,3.53,AR,1696549459
103,labasa,-16.4167,179.3833,26.59,49,40,5.39,FJ,1696549459
104,sinabang,2.4803,96.3801,25.96,81,100,2.89,ID,1696549460
105,east london,-33.0153,27.9116,19.5,91,100,2.67,ZA,1696549460
106,nieuw amsterdam,5.8833,-55.0833,29.09,78,20,2.06,SR,1696549461
107,una,20.8167,71.0333,23.89,90,34,2.66,IN,1696549461
108,ayacucho,-13.1583,-74.2239,20.92,35,40,0.51,PE,1696549462
109,hamilton,39.1834,-84.5333,19.17,94,100,3.09,US,1696549302
110,tofol,5.3248,163.0078,24.88,94,100,3.6,FM,1696549463
111,cetinje,42.3906,18.9142,13.79,100,0,0.0,ME,1696549464
112,juneau,58.3019,-134.4197,12.0,93,100,8.75,US,1696549464
113,el vigia,8.6219,-71.6506,24.98,82,100,1.9,VE,1696549465
114,olonkinbyen,70.9221,-8.7187,1.17,72,84,7.02,SJ,1696549465
115,la passe,45.5549,-0.8967,13.32,51,71,2.79,FR,1696549466
116,taroa,8.7058,171.2275,28.36,77,95,6.0,MH,1696549466
117,karratha,-20.7377,116.8463,26.68,46,22,8.1,AU,1696549467
118,qaqortoq,60.7167,-46.0333,2.53,62,15,1.86,GL,1696549268
119,lobito,-12.3481,13.5456,22.58,88,90,2.06,AO,1696549468
120,college,64.8569,-147.8028,3.37,57,75,3.6,US,1696549468
121,mount pearl,47.5166,-52.7813,7.3,90,100,1.03,CA,1696549247
122,panacan,9.2463,118.4082,27.9,85,100,0.88,PH,1696549470
123,invercargill,-46.4,168.35,20.01,51,96,10.28,NZ,1696549471
124,lagos,6.5833,3.75,27.18,94,93,1.17,NG,1696549316
125,chibougamau,49.9168,-74.3659,17.79,88,75,4.12,CA,1696549472
126,longyearbyen,78.2186,15.6401,-3.09,63,75,5.14,SJ,1696549472
127,west island,-12.1568,96.8225,24.99,83,100,4.12,CC,1696549429
128,utrik,11.2278,169.8474,28.37,71,100,5.93,MH,1696549473
129,aasiaat,68.7098,-52.8699,-3.91,72,100,5.57,GL,1696549474
130,punta arenas,-53.15,-70.9167,6.06,61,20,12.35,CL,1696549474
131,fonte boa,-2.4959,-66.2662,28.55,61,80,1.87,BR,1696549475
132,dalandzadgad,43.5708,104.425,10.83,45,79,1.58,MN,1696549352
133,ust-nera,64.5667,143.2,-1.55,73,100,1.34,RU,1696549476
134,bredasdorp,-34.5322,20.0403,14.54,90,100,5.47,ZA,1696549476
135,illizi,26.4833,8.4667,23.89,28,5,5.19,DZ,1696549477
136,puerto ayora,-0.7393,-90.3518,23.64,91,55,1.79,EC,1696549478
137,kirakira,-10.4544,161.9205,28.11,72,74,8.01,SB,1696549478
138,longboat key,27.4125,-82.659,29.52,69,75,4.63,US,1696549479
139,carauari,-4.8828,-66.8958,27.77,60,89,0.83,BR,1696549480
140,guozhen,34.3659,107.359,10.38,96,100,1.15,CN,1696549480
141,long beach,33.767,-118.1892,36.64,54,0,7.2,US,1696549131
142,port elizabeth,-33.918,25.5701,18.39,95,100,5.66,ZA,1696549481
143,talnakh,69.4865,88.3972,1.23,96,100,6.71,RU,1696549482
144,whitehorse,60.7161,-135.0538,3.23,87,100,7.72,CA,1696549482
